"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GERGEI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GESICO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GONI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUAMAGGIORE","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUASILA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ISILI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MANDAS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MARACALAGONIS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONASTIR","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONSERRATO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MURAVERA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAGUS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURALLAO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAMINIS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURRI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORROLI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORTACESUS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PIMENTEL","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PULA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTU SANT'ELENA","BKF ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTUCCIU","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SADALI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAMATZAI","BKF ( kg ) ","0.0324"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN BASILIO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN NICOLO' GERREI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN SPERATE","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN VITO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SANT'ANDREA FRIUS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SARROCH","BKF ( kg ) ","0.0223"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELARGIUS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELEGAS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SENORBI'","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERDIANA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERRI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SESTU","BKF ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SETTIMO SAN PIETRO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SEULO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIQUA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIUS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SINNAI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SIURGUS DONIGALA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SOLEMINIS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SUELLI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","TEULADA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","USSANA","BKF ( kg ) ","0"
